RoomID,Room,Status,Accuracy,Loss,Acc_ensemble,Acc_lgb,Acc_xgb,Acc_lstm
,102,OK,nan,nan,nan,nan,nan,nan
,103,OK,nan,nan,nan,nan,nan,nan
,10,NO_METRICS,nan,nan,nan,nan,nan,nan
,11,NO_METRICS,nan,nan,nan,nan,nan,nan
,12,NO_METRICS,nan,nan,nan,nan,nan,nan
,13,NO_METRICS,nan,nan,nan,nan,nan,nan
,14,NO_METRICS,nan,nan,nan,nan,nan,nan
,1513,NO_METRICS,nan,nan,nan,nan,nan,nan
,1514,NO_METRICS,nan,nan,nan,nan,nan,nan
,1515,NO_METRICS,nan,nan,nan,nan,nan,nan
,1516,NO_METRICS,nan,nan,nan,nan,nan,nan
,1517,NO_METRICS,nan,nan,nan,nan,nan,nan
,1518,NO_METRICS,nan,nan,nan,nan,nan,nan
,1519,NO_METRICS,nan,nan,nan,nan,nan,nan
,1520,NO_METRICS,nan,nan,nan,nan,nan,nan
,1521,NO_METRICS,nan,nan,nan,nan,nan,nan
,1522,NO_METRICS,nan,nan,nan,nan,nan,nan
,1523,NO_METRICS,nan,nan,nan,nan,nan,nan
,1524,NO_METRICS,nan,nan,nan,nan,nan,nan
,1525,NO_METRICS,nan,nan,nan,nan,nan,nan
,1526,NO_METRICS,nan,nan,nan,nan,nan,nan
,1527,NO_METRICS,nan,nan,nan,nan,nan,nan
,1528,NO_METRICS,nan,nan,nan,nan,nan,nan
,1529,NO_METRICS,nan,nan,nan,nan,nan,nan
,1530,NO_METRICS,nan,nan,nan,nan,nan,nan
,1531,NO_METRICS,nan,nan,nan,nan,nan,nan
,1532,NO_METRICS,nan,nan,nan,nan,nan,nan
,1533,NO_METRICS,nan,nan,nan,nan,nan,nan
,1534,NO_METRICS,nan,nan,nan,nan,nan,nan
,1535,NO_METRICS,nan,nan,nan,nan,nan,nan
,1536,NO_METRICS,nan,nan,nan,nan,nan,nan
,1537,NO_METRICS,nan,nan,nan,nan,nan,nan
,1538,NO_METRICS,nan,nan,nan,nan,nan,nan
,1539,NO_METRICS,nan,nan,nan,nan,nan,nan
,1540,NO_METRICS,nan,nan,nan,nan,nan,nan
,1541,NO_METRICS,nan,nan,nan,nan,nan,nan
,1542,NO_METRICS,nan,nan,nan,nan,nan,nan
,1543,NO_METRICS,nan,nan,nan,nan,nan,nan
,1544,NO_METRICS,nan,nan,nan,nan,nan,nan
,1545,NO_METRICS,nan,nan,nan,nan,nan,nan
,1546,NO_METRICS,nan,nan,nan,nan,nan,nan
,1547,NO_METRICS,nan,nan,nan,nan,nan,nan
,1548,NO_METRICS,nan,nan,nan,nan,nan,nan
,1549,NO_METRICS,nan,nan,nan,nan,nan,nan
,1550,NO_METRICS,nan,nan,nan,nan,nan,nan
,1551,NO_METRICS,nan,nan,nan,nan,nan,nan
,1552,NO_METRICS,nan,nan,nan,nan,nan,nan
,1553,NO_METRICS,nan,nan,nan,nan,nan,nan
,1554,NO_METRICS,nan,nan,nan,nan,nan,nan
,1555,NO_METRICS,nan,nan,nan,nan,nan,nan
,1556,NO_METRICS,nan,nan,nan,nan,nan,nan
,1557,NO_METRICS,nan,nan,nan,nan,nan,nan
,1558,NO_METRICS,nan,nan,nan,nan,nan,nan
,1559,NO_METRICS,nan,nan,nan,nan,nan,nan
,1560,NO_METRICS,nan,nan,nan,nan,nan,nan
,1561,NO_METRICS,nan,nan,nan,nan,nan,nan
,1562,NO_METRICS,nan,nan,nan,nan,nan,nan
,1563,NO_METRICS,nan,nan,nan,nan,nan,nan
,1564,NO_METRICS,nan,nan,nan,nan,nan,nan
,1565,NO_METRICS,nan,nan,nan,nan,nan,nan
,1566,NO_METRICS,nan,nan,nan,nan,nan,nan
,1567,NO_METRICS,nan,nan,nan,nan,nan,nan
,1568,NO_METRICS,nan,nan,nan,nan,nan,nan
,1569,NO_METRICS,nan,nan,nan,nan,nan,nan
,1570,NO_METRICS,nan,nan,nan,nan,nan,nan
,1571,NO_METRICS,nan,nan,nan,nan,nan,nan
,1572,NO_METRICS,nan,nan,nan,nan,nan,nan
,1573,NO_METRICS,nan,nan,nan,nan,nan,nan
,1574,NO_METRICS,nan,nan,nan,nan,nan,nan
,1575,NO_METRICS,nan,nan,nan,nan,nan,nan
,1576,NO_METRICS,nan,nan,nan,nan,nan,nan
,1577,NO_METRICS,nan,nan,nan,nan,nan,nan
,1578,NO_METRICS,nan,nan,nan,nan,nan,nan
,1579,NO_METRICS,nan,nan,nan,nan,nan,nan
,1580,NO_METRICS,nan,nan,nan,nan,nan,nan
,1581,NO_METRICS,nan,nan,nan,nan,nan,nan
,1582,NO_METRICS,nan,nan,nan,nan,nan,nan
,1583,NO_METRICS,nan,nan,nan,nan,nan,nan
,1584,NO_METRICS,nan,nan,nan,nan,nan,nan
,1585,NO_METRICS,nan,nan,nan,nan,nan,nan
,1586,NO_METRICS,nan,nan,nan,nan,nan,nan
,1587,NO_METRICS,nan,nan,nan,nan,nan,nan
,1588,NO_METRICS,nan,nan,nan,nan,nan,nan
,1589,NO_METRICS,nan,nan,nan,nan,nan,nan
,1590,NO_METRICS,nan,nan,nan,nan,nan,nan
,1591,NO_METRICS,nan,nan,nan,nan,nan,nan
